Object Type,Verb,Note
session,enter,
session,suspend,
session,resume,
session,exit,
dashboard,viewed,
component,initialized,
component,completed,
component,skipped,"לא נתמך — כפתור ""אני כבר יודע/ת"" הוסר מהמערכת; האירוע אינו נשלח (שורה 25 בתסריט: לא רלוונטי)"
questionnaire (agency),initialized,
question (agency),answered,
questionnaire (agency),completed,
conversation,interacted,
conversation,rated,
questionnaire (reflection),initialized,
question (reflection),answered,
question (reflection),skipped,
questionnaire (reflection),completed,
mentor-student-meeting,completed,
student-goal,initialized,
student-goal,updated,
student-goal,completed,
questionnaire,initialized,
questionnaire,completed,
question,answered,
video / audio / animation (media),played,
video / audio / animation (media),paused,
video / audio / animation (media),completed,
component / item,requested,
item,selected,נתמך דרך ממשק ספק התוכן (Kata) בלבד — נשלח כאשר הלומדה מדווחת בחירה בתוך פריט; בריצת 17/09 הלומדה לא ייצרה בחירה כזו. הבחירה של הפלטפורמה (practice-decision) נשלחת על הרכיב
